Zonas de movilidad;Periodo;Total
Almería;30/12/2020;17,17
Almería;27/12/2020;11,53
Almería;23/12/2020;17,81
Almería;20/12/2020;12,13
Almería;16/12/2020;18,28
Almería;13/12/2020;11,97
Almería;9/12/2020;17,38
Almería;6/12/2020;8,80
Almería;2/12/2020;16,87
Almería;29/11/2020;8,26
Almería;25/11/2020;16,61
Almería;22/11/2020;7,75
Almería;18/11/2020;16,05
Almería;15/11/2020;7,57
Almería;11/11/2020;16,80
Almería;8/11/2020;10,45
Almería;4/11/2020;17,23
Almería;1/11/2020;11,34
Almería;28/10/2020;17,41
Almería;25/10/2020;12,02
Almería;21/10/2020;17,79
Almería;18/10/2020;11,95
Almería;14/10/2020;18,09
Almería;11/10/2020;12,83
Almería;7/10/2020;17,72
Almería;4/10/2020;11,73
Almería;30/9/2020;14,85
Almería;27/9/2020;10,25
Almería;23/9/2020;17,82
Almería;20/9/2020;11,90
Almería;16/9/2020;17,87
Almería;13/9/2020;12,11
Almería;9/9/2020;17,54
Almería;6/9/2020;12,50
Almería;2/9/2020;16,61
Almería;30/8/2020;12,61
Almería;26/8/2020;16,75
Almería;23/8/2020;11,55
Almería;19/8/2020;16,85
Almería;16/8/2020;12,70
Almería;12/8/2020;16,77
Almería;9/8/2020;13,33
Almería;5/8/2020;13,34
Almería;2/8/2020;10,04
Almería;29/7/2020;13,84
Almería;26/7/2020;11,29
Almería;22/7/2020;16,20
Almería;19/7/2020;13,31
Almería;15/7/2020;17,65
Almería;12/7/2020;12,86
Almería;8/7/2020;17,64
Almería;5/7/2020;13,69
Almería;1/7/2020;18,12
Almería;28/6/2020;14,00
Almería;24/6/2020;17,52
Almería;20/6/2020;15,15
Almería;19/6/2020;16,91
Almería;18/6/2020;16,83
Almería;17/6/2020;16,90
Almería;16/6/2020;16,64
Almería;15/6/2020;16,43
Almería;14/6/2020;12,79
Almería;13/6/2020;14,91
Almería;12/6/2020;15,89
Almería;11/6/2020;16,78
Almería;10/6/2020;16,76
Almería;9/6/2020;13,90
Almería;8/6/2020;14,60
Almería;7/6/2020;11,04
Almería;6/6/2020;14,02
Almería;5/6/2020;16,23
Almería;4/6/2020;16,10
Almería;3/6/2020;15,98
Almería;2/6/2020;16,00
Almería;1/6/2020;15,05
Almería;31/5/2020;10,75
Almería;30/5/2020;13,33
Almería;29/5/2020;15,50
Almería;28/5/2020;15,44
Almería;27/5/2020;15,31
Almería;26/5/2020;15,24
Almería;25/5/2020;14,70
Almería;24/5/2020;9,68
Almería;23/5/2020;12,09
Almería;22/5/2020;14,76
Almería;21/5/2020;14,48
Almería;20/5/2020;14,62
Almería;19/5/2020;14,28
Almería;18/5/2020;13,62
Almería;17/5/2020;8,45
Almería;16/5/2020;10,99
Almería;15/5/2020;13,60
Almería;14/5/2020;13,75
Almería;13/5/2020;13,87
Almería;12/5/2020;13,99
Almería;11/5/2020;12,99
Almería;10/5/2020;5,30
Almería;9/5/2020;7,14
Almería;8/5/2020;12,03
Almería;7/5/2020;11,68
Almería;6/5/2020;11,60
Almería;5/5/2020;12,20
Almería;4/5/2020;11,45
Almería;3/5/2020;5,35
Almería;2/5/2020;7,43
Almería;1/5/2020;6,66
Almería;30/4/2020;11,24
Almería;29/4/2020;11,00
Almería;28/4/2020;10,91
Almería;27/4/2020;10,26
Almería;26/4/2020;4,50
Almería;25/4/2020;7,09
Almería;24/4/2020;10,61
Almería;23/4/2020;10,57
Almería;22/4/2020;10,82
Almería;21/4/2020;10,60
Almería;20/4/2020;9,97
Almería;19/4/2020;4,33
Almería;18/4/2020;7,24
Almería;17/4/2020;10,41
Almería;16/4/2020;10,67
Almería;15/4/2020;10,05
Almería;14/4/2020;10,61
Almería;13/4/2020;8,88
Almería;12/4/2020;4,19
Almería;11/4/2020;6,25
Almería;10/4/2020;4,51
Almería;9/4/2020;6,29
Almería;8/4/2020;9,32
Almería;7/4/2020;9,36
Almería;6/4/2020;8,22
Almería;5/4/2020;4,10
Almería;4/4/2020;6,76
Almería;3/4/2020;9,33
Almería;2/4/2020;8,75
Almería;1/4/2020;8,89
Almería;31/3/2020;8,32
Almería;30/3/2020;8,33
Almería;28/3/2020;6,19
Almería;26/3/2020;9,24
Almería;24/3/2020;8,98
Almería;22/3/2020;4,19
Almería;20/3/2020;6,87
Almería;18/3/2020;7,28
Almería;16/3/2020;10,99
Almería;18/11/2019;24,35
Cádiz;30/12/2020;17,16
Cádiz;27/12/2020;13,14
Cádiz;23/12/2020;18,14
Cádiz;20/12/2020;12,95
Cádiz;16/12/2020;18,68
Cádiz;13/12/2020;12,40
Cádiz;9/12/2020;17,18
Cádiz;6/12/2020;10,10
Cádiz;2/12/2020;17,27
Cádiz;29/11/2020;8,35
Cádiz;25/11/2020;16,57
Cádiz;22/11/2020;9,24
Cádiz;18/11/2020;16,52
Cádiz;15/11/2020;9,24
Cádiz;11/11/2020;16,68
Cádiz;8/11/2020;10,79
Cádiz;4/11/2020;17,27
Cádiz;1/11/2020;12,00
Cádiz;28/10/2020;18,27
Cádiz;25/10/2020;13,69
Cádiz;21/10/2020;18,08
Cádiz;18/10/2020;13,78
Cádiz;14/10/2020;19,19
Cádiz;11/10/2020;15,44
Cádiz;7/10/2020;18,34
Cádiz;4/10/2020;13,68
Cádiz;30/9/2020;17,85
Cádiz;27/9/2020;12,83
Cádiz;23/9/2020;19,27
Cádiz;20/9/2020;13,49
Cádiz;16/9/2020;19,28
Cádiz;13/9/2020;13,63
Cádiz;9/9/2020;19,07
Cádiz;6/9/2020;14,70
Cádiz;2/9/2020;18,42
Cádiz;30/8/2020;16,09
Cádiz;26/8/2020;19,64
