"sub_region_2";"fecha";"num_casos.x";"num_casos_prueba_pcr";"num_casos_prueba_desconocida";"num_hosp";"num_uci";"num_def";"retail_and_recreation_percent_change_from_baseline";"grocery_and_pharmacy_percent_change_from_baseline";"parks_percent_change_from_baseline";"transit_stations_percent_change_from_baseline";"workplaces_percent_change_from_baseline";"residential_percent_change_from_baseline";"Total"
"Albacete";2020-03-16;137;132;0;43;3;7;-81;-32;-73;-66;-51;22;9,9
"Albacete";2020-03-17;128;123;0;40;4;2;-84;-41;-74;-72;-56;23;9,705
"Albacete";2020-03-18;114;107;0;24;7;7;-83;-32;-70;-70;-58;23;9,51
"Albacete";2020-03-19;149;133;0;40;5;7;-93;-92;-80;-86;-85;35;9,13
"Albacete";2020-03-20;131;121;0;63;4;6;-87;-34;-74;-76;-68;32;8,75
"Albacete";2020-03-21;129;120;0;60;2;10;-92;-60;-85;-80;-64;27;6,625
"Albacete";2020-03-22;125;112;0;61;8;13;-94;-80;-88;-89;-66;23;4,5
"Albacete";2020-03-23;112;103;0;108;2;16;-85;-46;-77;-76;-61;26;6,76
"Albacete";2020-03-24;107;91;0;76;7;14;-87;-55;-81;-79;-64;28;9,02
"Albacete";2020-03-25;78;64;0;66;9;16;-87;-55;-76;-78;-65;28;8,255
"Albacete";2020-03-26;141;128;0;78;12;16;-87;-55;-77;-77;-66;28;7,49
"Albacete";2020-03-27;64;51;0;106;8;12;-90;-57;-82;-80;-67;34;6,355
"Albacete";2020-03-28;68;58;0;54;8;18;-92;-60;-85;-81;-64;27;5,22
"Albacete";2020-03-29;101;94;0;63;3;12;-94;-82;-87;-90;-64;23;5,85
"Albacete";2020-03-30;109;94;0;99;10;18;-89;-57;-78;-79;-71;29;6,48
"Albacete";2020-03-31;77;65;0;77;7;19;-93;-55;-82;-80;-73;30;6,06
"Albacete";2020-04-01;60;45;0;84;5;18;-93;-57;-78;-79;-73;30;5,84
"Albacete";2020-04-02;61;45;1;59;4;13;-92;-57;-78;-80;-73;31;5,86
"Albacete";2020-04-03;30;20;0;66;3;18;-89;-51;-78;-81;-72;35;6,4
"Albacete";2020-04-04;72;52;0;31;1;26;-92;-61;-85;-82;-66;27;4,83
"Albacete";2020-04-05;48;34;0;34;4;8;-94;-83;-86;-89;-67;23;4,96
"Albacete";2020-04-06;51;36;0;57;1;11;-87;-51;-75;-78;-71;29;8,22
"Albacete";2020-04-07;28;21;0;39;0;6;-86;-41;-76;-78;-71;28;6,99
"Albacete";2020-04-08;41;33;0;32;1;20;-85;-33;-72;-76;-72;27;6,72
"Albacete";2020-04-09;59;40;0;28;1;7;-94;-88;-80;-88;-86;35;6,3
"Albacete";2020-04-10;25;22;0;28;1;6;-97;-95;-86;-92;-88;43;5,15
"Albacete";2020-04-11;14;10;0;22;1;11;-90;-50;-81;-78;-62;26;6,34
"Albacete";2020-04-12;20;15;0;13;4;3;-95;-83;-85;-89;-65;23;5,02
"Albacete";2020-04-13;28;20;0;15;0;11;-94;-90;-78;-86;-83;33;6,04
"Albacete";2020-04-14;25;18;0;23;0;12;-84;-37;-74;-74;-63;25;6,92
"Albacete";2020-04-15;24;16;0;11;1;4;-85;-48;-76;-76;-64;27;6,85
"Albacete";2020-04-16;13;6;0;19;1;6;-86;-51;-73;-76;-64;27;7,36
"Albacete";2020-04-17;8;4;0;12;1;7;-88;-52;-74;-77;-63;32;7,15
"Albacete";2020-04-18;20;16;0;8;0;8;-91;-59;-82;-79;-59;26;4,93
"Albacete";2020-04-19;23;16;0;9;0;9;-95;-82;-86;-89;-64;23;3,43
"Albacete";2020-04-20;20;16;0;11;0;11;-85;-56;-70;-75;-61;26;6,99
"Albacete";2020-04-21;14;10;0;14;0;2;-86;-52;-77;-77;-61;26;7,43
"Albacete";2020-04-22;23;14;0;11;0;3;-86;-52;-71;-74;-62;26;7,64
"Albacete";2020-04-23;9;4;0;10;0;5;-85;-53;-71;-75;-62;26;7,24
"Albacete";2020-04-24;10;8;0;10;0;3;-87;-50;-70;-74;-60;30;7,26
"Albacete";2020-04-25;12;9;0;7;0;8;-90;-56;-79;-77;-57;25;4,91
"Albacete";2020-04-26;24;7;0;9;1;7;-91;-75;-73;-84;-61;22;3,47
"Albacete";2020-04-27;30;20;0;17;0;4;-83;-53;-64;-69;-58;24;7,06
"Albacete";2020-04-28;21;12;0;12;0;3;-83;-48;-62;-72;-59;24;7,51
"Albacete";2020-04-29;16;7;0;15;0;8;-82;-44;-57;-69;-59;24;7,64
"Albacete";2020-04-30;8;6;0;9;0;3;-80;-28;-58;-67;-59;23;8,07
"Albacete";2020-05-01;2;1;0;6;0;0;-93;-91;-67;-86;-83;39;4,83
"Albacete";2020-05-02;7;3;0;4;2;4;-82;-35;-42;-55;-51;21;4,96
"Albacete";2020-05-03;10;5;0;5;0;2;-81;-48;-35;-65;-49;18;4,96
"Albacete";2020-05-04;12;10;0;8;0;3;-73;-36;-26;-54;-53;20;8,77
"Albacete";2020-05-05;12;7;0;4;0;1;-74;-33;-32;-55;-53;19;9,41
"Albacete";2020-05-06;12;6;0;9;0;4;-73;-38;-26;-56;-55;21;9,62
"Albacete";2020-05-07;6;3;0;5;1;2;-73;-34;-34;-57;-53;21;9,06
"Albacete";2020-05-08;7;3;0;4;0;3;-76;-36;-34;-58;-52;24;9,06
"Albacete";2020-05-09;8;5;0;6;0;6;-82;-42;-49;-56;-45;20;5,19
"Albacete";2020-05-10;4;4;0;6;0;3;-85;-61;-56;-73;-49;19;4,33
"Albacete";2020-05-11;2;2;0;0;0;1;-72;-36;-35;-55;-49;19;8,78
"Albacete";2020-05-12;3;3;0;1;0;4;-77;-39;-61;-65;-49;21;8,97
"Albacete";2020-05-13;5;5;0;0;0;2;-71;-34;-28;-54;-49;19;8,82
"Albacete";2020-05-14;4;4;0;2;0;0;-74;-35;-51;-60;-50;23;8,77
"Albacete";2020-05-15;7;7;0;2;0;1;-78;-36;-54;-63;-50;26;8,39
"Albacete";2020-05-16;5;5;0;0;0;2;-80;-38;-52;-56;-42;21;5,66
"Albacete";2020-05-17;1;1;0;0;0;0;-80;-50;-39;-64;-43;17;4,37
"Albacete";2020-05-18;4;4;0;0;0;2;-51;-24;5;-40;-40;13;9,86
"Albacete";2020-05-19;2;2;0;0;0;1;-54;-23;-1;-46;-41;13;10,84
"Albacete";2020-05-20;7;7;0;0;0;0;-52;-22;-1;-45;-42;14;10,68
"Albacete";2020-05-21;5;5;0;0;1;3;-53;-20;-6;-44;-42;14;10,56
"Albacete";2020-05-22;5;4;0;2;0;1;-56;-19;-4;-48;-39;16;10,58
"Albacete";2020-05-23;2;2;0;0;0;2;-62;-27;-15;-44;-24;9;8,99
"Albacete";2020-05-24;6;5;0;1;0;0;-64;-35;-17;-59;-24;7;7,12
"Albacete";2020-05-25;5;5;0;0;0;0;-50;-21;-9;-44;-39;13;11,04
"Albacete";2020-05-26;8;8;0;0;0;0;-51;-21;-8;-48;-37;13;11,13
"Albacete";2020-05-27;6;5;0;0;0;0;-47;-20;5;-43;-38;13;11,36
"Albacete";2020-05-28;5;5;0;2;0;2;-46;-18;4;-41;-37;13;11,65
"Albacete";2020-05-29;7;7;0;0;0;1;-49;-16;3;-44;-35;14;11,93
"Albacete";2020-05-30;7;6;0;3;0;0;-54;-21;-6;-39;-13;7;9,97
"Albacete";2020-05-31;1;1;0;1;0;1;-56;-29;-5;-56;-9;6;7,5
"Albacete";2020-06-01;7;6;0;0;0;1;-34;-11;15;-35;-31;10;11,51
"Albacete";2020-06-02;6;6;0;4;1;2;-37;-12;9;-40;-32;10;12,33
"Albacete";2020-06-03;8;7;0;1;0;0;-32;-10;18;-36;-33;10;11,74
"Albacete";2020-06-04;7;6;0;1;0;0;-40;-13;-26;-41;-34;13;11,6
"Albacete";2020-06-05;4;4;0;0;0;0;-35;-11;10;-36;-28;11;11,99
"Albacete";2020-06-06;1;1;0;0;0;0;-42;-19;1;-35;-8;5;10,84
"Albacete";2020-06-07;0;0;0;0;0;0;-49;-25;-4;-52;-7;5;8,03
"Albacete";2020-06-08;4;3;0;0;0;1;-29;-12;7;-31;-30;9;11,13
"Albacete";2020-06-09;2;2;0;1;0;0;-30;-10;10;-37;-29;8;10,56
"Albacete";2020-06-10;4;4;0;0;0;1;-22;2;22;-32;-29;6;13,48
"Albacete";2020-06-11;0;0;0;0;1;0;-51;-75;25;-53;-61;15;10,87
"Albacete";2020-06-12;3;3;0;0;0;0;-32;5;10;-41;-34;12;11,15
"Albacete";2020-06-13;2;2;0;1;0;1;-38;-15;10;-37;-2;4;10,43
"Albacete";2020-06-14;2;2;0;0;0;0;-44;-20;11;-51;2;2;8,44
"Albacete";2020-06-15;1;1;0;0;0;0;-23;-8;27;-26;-27;7;12,32
"Albacete";2020-06-16;1;1;0;0;0;0;-27;-8;29;-35;-27;7;12,95
"Albacete";2020-06-17;2;2;0;0;0;0;-23;-10;34;-29;-28;7;12,95
"Albacete";2020-06-18;3;3;0;0;0;0;-23;-12;22;-26;-27;8;13,28
"Albacete";2020-06-19;5;5;0;0;0;0;-28;-10;27;-32;-24;8;13,32
"Albacete";2020-06-20;3;3;0;0;0;0;-34;-15;17;-30;2;2;11,27
"Albacete";2020-06-21;1;1;0;0;0;0;-35;-16;20;-42;4;0;12,245
"Albacete";2020-06-22;2;2;0;1;0;0;-13;-6;35;-22;-27;5;13,22
"Albacete";2020-06-23;7;7;0;0;0;0;-12;2;32;-28;-27;2;14,195
"Albacete";2020-06-24;2;2;0;1;0;0;-35;-40;37;-41;-46;7;15,17
"Albacete";2020-06-25;5;5;0;0;0;0;-11;-4;32;-18;-26;4;14,39
"Albacete";2020-06-26;4;4;0;0;0;1;-18;-4;40;-23;-25;4;13,61
"Albacete";2020-06-27;1;1;0;1;0;0;-25;-13;39;-27;-3;-1;12,83
"Albacete";2020-06-28;4;4;0;0;0;2;-22;12;30;-31;9;-5;12,05
"Albacete";2020-06-29;3;3;0;0;0;1;-10;-6;36;-16;-23;3;13,8533333333333
"Albacete";2020-06-30;2;2;0;0;0;0;-13;-7;26;-18;-24;3;15,6566666666667
"Albacete";2020-07-01;3;3;0;0;0;0;-11;-8;32;-18;-26;3;17,46
"Albacete";2020-07-02;6;6;0;1;0;0;-10;-5;33;-10;-26;3;16,0775
"Albacete";2020-07-03;8;8;0;4;0;0;-16;-5;38;-19;-24;2;14,695
"Albacete";2020-07-04;1;1;0;3;0;0;-23;-15;38;-23;0;-2;13,3125
"Albacete";2020-07-05;0;0;0;0;0;0;-19;14;32;-26;7;-5;11,93
"Albacete";2020-07-06;0;0;0;0;1;0;-10;-7;40;-6;-25;1;13,5966666666667
